Land Area,Ocean Area,Environment,Species,Scientific name,2014,S_2014,2015,S_2015,2016,S_2016,2017,S_2017,2018,S_2018
Albania,Marine areas,Marine,Mediterranean mussel,Mytilus galloprovincialis,1200,,495,,1450,,430,,1108,
Argentina,Marine areas,Marine,Blue mussel,Mytilus edulis,3.68,,6,,5.2,,0.54,,5.6,
Argentina,Marine areas,Marine,Cholga mussel,Aulacomya ater,0,-,4,,0,.,0.2,,0,.
Argentina,Marine areas,Marine,Pacific cupped oyster,Crassostrea gigas,6.8,,9,,11,,16,,6,
Argentina,Marine areas,Marine,River Plata mussel,Mytilus platensis,2.32,,6,,6,,2.5,,0,.
Australia,Marine areas,Marine,Australian mussel,Mytilus planulatus,3237.2,,3678.48,,3625.15,,3811.33,,3781,
Australia,Marine areas,Marine,Flat and cupped oysters nei,Ostreidae,8166,,7604,,8315.89,,8928,,5847.52,
Australia,Marine areas,Marine,Pacific cupped oyster,Crassostrea gigas,3386.29,,3365.68,,3029.45,,3004.25,,2976,
Bosnia and Herzegovina,Marine areas,Marine,Mediterranean mussel,Mytilus galloprovincialis,40,,0,.,0,.,0,.,0,.
Brazil,Marine areas,Marine,Cupped oysters nei,Crassostrea spp,2800,F,2700,F,2700,F,2700,F,2000,F
Brazil,Marine areas,Marine,Pacific lion's paw,Lyropecten subnodosus,0,.,0,.,10,F,10,F,10,F
Brazil,Marine areas,Marine,South American rock mussel,Perna perna,19300,F,18400,F,18200,F,18200,F,12500,F
Brunei Darussalam,Marine areas,Marine,Green mussel,Perna viridis,0,.,0,.,0,.,0,.,1.69,
Bulgaria,Marine areas,Marine,Mediterranean mussel,Mytilus galloprovincialis,2520.1,,3372.645,,3931.9,,3291.583,,2531.122,
Cambodia,Marine areas,Marine,Blood cockle,Anadara granosa,1300,F,1000,F,4730,,5000,F,6100,F
Cambodia,Marine areas,Marine,Green mussel,Perna viridis,2300,F,1500,F,3258,,3300,F,4050,F
